snapped_at,price,market_cap,total_volume
2022-05-31 00:00:00 UTC,1.3984243604618247,0.0,91505722.35416752
2022-06-01 00:00:00 UTC,1.3984243604618247,0.0,91505722.35416752
2022-06-02 00:00:00 UTC,1.237602851542276,266010907.71171966,744155367.3548197
2022-06-03 00:00:00 UTC,1.5448237166141074,329931039.59743464,652849883.4708306
2022-06-04 00:00:00 UTC,1.3793518450373485,296555109.9165962,425232394.3505877
2022-06-05 00:00:00 UTC,1.391599291616283,296884152.0696716,244188282.65830904
2022-06-06 00:00:00 UTC,1.1718335877194317,254918900.81469655,215842964.40000486
2022-06-07 00:00:00 UTC,1.3241110554897875,285576157.7216218,232356762.9578244
2022-06-08 00:00:00 UTC,1.11424083988749,240640711.0406964,199775786.9566918
2022-06-09 00:00:00 UTC,0.7274057133510842,156383270.00552315,133813787.4792204
2022-06-10 00:00:00 UTC,0.8272260955805965,178371839.25224426,230366982.6676089
2022-06-11 00:00:00 UTC,0.8748051592783558,186882631.11897224,279691214.1714689
2022-06-12 00:00:00 UTC,0.7593274106150699,165103916.0124497,102911050.37137058
2022-06-13 00:00:00 UTC,0.6535740460023031,141482056.70605773,178209532.50526085
2022-06-14 00:00:00 UTC,0.5341171879553153,113793832.2097789,200163533.85238472
2022-06-15 00:00:00 UTC,0.5705361328404825,122410692.3595403,142354163.64541882
2022-06-16 00:00:00 UTC,0.587183059298845,126285430.46739979,314904267.90818006
2022-06-17 00:00:00 UTC,0.4891872416134628,105384491.65804592,100796992.67563428
2022-06-18 00:00:00 UTC,0.5191419038927495,111408234.9990274,53548233.9580257
2022-06-19 00:00:00 UTC,0.4510411527760327,95583222.17757276,70242872.85317828
2022-06-20 00:00:00 UTC,0.5069282052130033,108106110.80337994,49893307.481537275
2022-06-21 00:00:00 UTC,0.505144921331425,108565062.45068626,59976626.756834306
2022-06-22 00:00:00 UTC,0.5120908145327199,110389172.39909056,64225871.31012153
2022-06-23 00:00:00 UTC,0.4614047805213943,99730368.3281958,43862167.254564054
2022-06-24 00:00:00 UTC,0.5248762761949801,112945890.06614667,42645363.89586414
2022-06-25 00:00:00 UTC,0.5932772199907088,128066431.56682974,107064297.23500462
2022-06-26 00:00:00 UTC,0.5817050438143435,125423430.7476726,104660968.98505038
2022-06-27 00:00:00 UTC,0.5547784500131488,120292887.80827019,80251186.28082792
2022-06-28 00:00:00 UTC,0.536431152394426,115270678.07668203,45452816.84196392
2022-06-29 00:00:00 UTC,0.5290687255760484,112591508.46552895,61697601.36998844
2022-06-30 00:00:00 UTC,0.5816922309669,124949781.01561639,94230597.54416475
2022-07-01 00:00:00 UTC,0.5381826888785517,114874740.4625257,50946074.04091871
2022-07-02 00:00:00 UTC,0.532399124546598,115284906.19600956,40868081.959599726
2022-07-03 00:00:00 UTC,0.5265215997459488,112957255.35756114,26198087.79418958
2022-07-04 00:00:00 UTC,0.5206995040420955,111878871.73716195,18233107.811046284
2022-07-05 00:00:00 UTC,0.5630484516768679,120987861.52156961,31564445.013043143
2022-07-06 00:00:00 UTC,0.5235721932496522,112225800.03338617,35554586.7248772
2022-07-07 00:00:00 UTC,0.5445954292635213,117664306.77473314,30114702.471900363
2022-07-08 00:00:00 UTC,0.5764931966767604,123577466.53798795,46016082.574661426
2022-07-09 00:00:00 UTC,0.5767393638252891,124593649.71292955,52402718.347581744
2022-07-10 00:00:00 UTC,0.575984105328035,123605314.83825053,28913599.643752743
2022-07-11 00:00:00 UTC,0.5341956984065243,115228525.0833306,25981912.891693205
2022-07-12 00:00:00 UTC,0.4821162941988037,103658885.98513924,24776442.735190753
2022-07-13 00:00:00 UTC,0.45232964097200357,97449494.50706671,30528273.404655
2022-07-14 00:00:00 UTC,0.47033698277186375,100930744.42335905,43198238.28444246
2022-07-15 00:00:00 UTC,0.49248175623710155,106151307.61786084,40981197.26023107
2022-07-16 00:00:00 UTC,0.4811528917713316,103408280.81160307,43006900.01938587
2022-07-17 00:00:00 UTC,0.5206229289603378,111986420.19176061,40914352.238328256
2022-07-18 00:00:00 UTC,0.5800158318439751,125206493.24803409,131930346.50794242
2022-07-19 00:00:00 UTC,0.8164657149623685,174440338.44211775,348187901.8070034
2022-07-20 00:00:00 UTC,0.7178599899760572,153868323.76047453,182603699.20554107
2022-07-21 00:00:00 UTC,0.6869510476986517,148764416.40181664,195127140.15149003
2022-07-22 00:00:00 UTC,0.7686113032060343,164639607.2613797,149089414.08747593
2022-07-23 00:00:00 UTC,0.8273563355114107,178652419.6184686,213232117.86248142
2022-07-24 00:00:00 UTC,0.9380608798779715,201280127.0028966,244470778.45849383
2022-07-25 00:00:00 UTC,0.9228782972036856,199367934.93292466,162082962.65116796
2022-07-26 00:00:00 UTC,0.8025880419616809,175118716.19409028,134785811.41154152
2022-07-27 00:00:00 UTC,0.8213311390692773,175970834.1544934,119445556.50805806
2022-07-28 00:00:00 UTC,1.0536993519054652,225057775.60495594,234030883.17459306
2022-07-29 00:00:00 UTC,1.4340785825781186,307776165.06049144,591992875.2347472
2022-07-30 00:00:00 UTC,1.8314939867213627,395168303.65671796,932960965.9994445
2022-07-31 00:00:00 UTC,1.8021672964250726,380606167.1228829,455669189.1083213
2022-08-01 00:00:00 UTC,1.590165760266356,342832086.0305156,256049266.4951197
2022-08-02 00:00:00 UTC,1.5106944533792785,322220604.2170982,253269764.79337808
2022-08-03 00:00:00 UTC,1.6143018743780355,347461603.1075659,381187402.9442346
2022-08-04 00:00:00 UTC,1.9987195512505707,433098716.70257384,440298169.0179671
